Accident_ID,Location,Severity,Weather_Condition,Number_of_Casualties,date_time,traffic_volume,weather_description,temp(K),rain_intensity_level,day_of_week,hour_of_day,State
1,Koramangala,Moderate,Clear,1,08-02-2023 08:00,2526,light rain,295.2,2,Sunday,11,Karnataka
2,Bandra,Moderate,Fog,9,08-02-2023 08:00,2526,light rain,295.2,2,Sunday,11,Maharashtra
3,Indiranagar,Minor,Clear,1,08-02-2023 08:00,2526,light rain,295.2,2,Sunday,11,Karnataka
4,Connaught Place,Minor,Fog,8,08-02-2023 08:00,2526,light rain,295.2,2,Sunday,11,Delhi
5,Salt Lake City,Minor,Fog,0,08-02-2023 08:00,2526,light rain,295.2,2,Sunday,11,West Bengal
6,Gariahat,Severe,Clear,8,08-02-2023 08:00,2526,light rain,295.2,2,Sunday,11,West Bengal
7,Hinjewadi,Severe,Clear,6,08-02-2023 08:00,2526,light rain,295.2,2,Sunday,11,Maharashtra
8,Banjara Hills,Severe,Rain,0,08-02-2023 08:00,2526,light rain,295.2,2,Sunday,11,Telangana
9,Jubilee Hills,Severe,Rain,0,08-02-2023 08:00,2526,light rain,295.2,2,Sunday,11,Telangana
10,Anna Nagar,Severe,Clear,2,08-02-2023 08:00,2526,light rain,295.2,2,Sunday,11,Tamil Nadu
11,T. Nagar,Severe,Fog,2,08-02-2023 08:00,2526,light rain,295.2,2,Sunday,11,Tamil Nadu
12,Civil Lines,Minor,Fog,0,08-02-2023 08:00,2526,light rain,295.2,2,Sunday,11,Rajasthan
13,Kalyani Nagar,Moderate,Fog,5,08-02-2023 08:00,2526,light rain,295.2,2,Sunday,11,Maharashtra
14,Vasant Kunj,Minor,Fog,7,08-02-2023 08:00,2526,light rain,295.2,2,Sunday,11,Delhi
15,Alwarpet,Moderate,Rain,8,08-02-2023 08:00,2526,light rain,295.2,2,Sunday,11,Tamil Nadu
16,Koramangala,Moderate,Fog,9,08-02-2023 08:00,2526,light rain,295.2,2,Sunday,11,Karnataka
17,Bandra,Minor,Rain,1,08-02-2023 08:00,2526,light rain,295.2,2,Sunday,11,Maharashtra
18,Indiranagar,Minor,Snow,4,08-02-2023 08:00,2526,light rain,295.2,2,Sunday,11,Karnataka
19,Connaught Place,Severe,Fog,8,08-02-2023 08:00,2526,light rain,295.2,2,Sunday,11,Delhi
20,Salt Lake City,Moderate,Snow,6,08-02-2023 08:00,2526,light rain,295.2,2,Sunday,11,West Bengal
21,Gariahat,Moderate,Rain,9,08-02-2023 08:00,2526,light rain,295.2,2,Sunday,11,West Bengal
22,Hinjewadi,Severe,Rain,5,08-02-2023 08:00,2526,light rain,295.2,2,Sunday,11,Maharashtra
23,Banjara Hills,Moderate,Fog,9,08-02-2023 08:00,2526,light rain,295.2,2,Sunday,11,Telangana
24,Jubilee Hills,Minor,Clear,5,08-02-2023 08:00,2526,light rain,295.2,2,Sunday,11,Telangana
25,Anna Nagar,Moderate,Fog,7,08-02-2023 08:00,2526,light rain,295.2,2,Sunday,11,Tamil Nadu
26,T. Nagar,Minor,Clear,9,08-02-2023 08:00,2526,light rain,295.2,2,Sunday,11,Tamil Nadu
27,Civil Lines,Severe,Rain,0,08-02-2023 08:00,2526,light rain,295.2,2,Sunday,11,Rajasthan
28,Kalyani Nagar,Severe,Rain,2,08-02-2023 08:00,2526,light rain,295.2,2,Sunday,11,Maharashtra
29,Vasant Kunj,Minor,Snow,5,08-02-2023 08:00,2526,light rain,295.2,2,Sunday,11,Delhi
30,Alwarpet,Severe,Rain,3,08-02-2023 08:00,2526,light rain,295.2,2,Sunday,11,Tamil Nadu
31,Koramangala,Moderate,Fog,0,08-02-2023 08:00,2526,light rain,295.2,2,Sunday,11,Karnataka
32,Bandra,Severe,Fog,5,08-02-2023 08:00,2526,light rain,295.2,2,Sunday,11,Maharashtra
33,Indiranagar,Moderate,Fog,2,08-02-2023 08:00,2526,light rain,295.2,2,Sunday,11,Karnataka
34,Connaught Place,Minor,Snow,1,08-02-2023 08:00,2526,light rain,295.2,2,Sunday,11,Delhi
35,Salt Lake City,Severe,Clear,0,08-02-2023 08:00,2526,light rain,295.2,2,Sunday,11,West Bengal
36,Gariahat,Moderate,Fog,5,08-02-2023 08:00,2526,light rain,295.2,2,Sunday,11,West Bengal
37,Hinjewadi,Minor,Fog,8,08-02-2023 08:00,2526,light rain,295.2,2,Sunday,11,Maharashtra
38,Banjara Hills,Severe,Fog,1,08-02-2023 08:00,2526,light rain,295.2,2,Sunday,11,Telangana
39,Jubilee Hills,Minor,Clear,2,08-02-2023 08:00,2526,light rain,295.2,2,Sunday,11,Telangana
40,Anna Nagar,Severe,Rain,7,08-02-2023 08:00,2526,light rain,295.2,2,Sunday,11,Tamil Nadu
41,T. Nagar,Minor,Fog,6,08-02-2023 08:00,2526,light rain,295.2,2,Sunday,11,Tamil Nadu
42,Civil Lines,Moderate,Clear,3,08-02-2023 08:00,2526,light rain,295.2,2,Sunday,11,Rajasthan
43,Kalyani Nagar,Severe,Clear,3,08-02-2023 08:00,2526,light rain,295.2,2,Sunday,11,Maharashtra
44,Vasant Kunj,Minor,Rain,0,08-02-2023 08:00,2526,light rain,295.2,2,Sunday,11,Delhi
45,Alwarpet,Minor,Rain,3,08-02-2023 08:00,2526,light rain,295.2,2,Sunday,11,Tamil Nadu
46,Koramangala,Moderate,Rain,4,08-02-2023 08:00,2526,light rain,295.2,2,Sunday,11,Karnataka
47,Bandra,Moderate,Rain,5,08-02-2023 08:00,2526,light rain,295.2,2,Sunday,11,Maharashtra
48,Indiranagar,Severe,Clear,7,08-02-2023 08:00,2526,light rain,295.2,2,Sunday,11,Karnataka
49,Connaught Place,Severe,Rain,3,08-02-2023 08:00,2526,light rain,295.2,2,Sunday,11,Delhi
50,Salt Lake City,Severe,Fog,4,08-02-2023 08:00,2526,light rain,295.2,2,Sunday,11,West Bengal
51,Gariahat,Moderate,Clear,0,08-02-2023 08:00,2526,light rain,295.2,2,Sunday,11,West Bengal
52,Hinjewadi,Minor,Clear,3,08-02-2023 08:00,2526,light rain,295.2,2,Sunday,11,Maharashtra
53,Banjara Hills,Severe,Rain,3,08-02-2023 08:00,2526,light rain,295.2,2,Sunday,11,Telangana
54,Jubilee Hills,Moderate,Clear,6,08-02-2023 08:00,2526,light rain,295.2,2,Sunday,11,Telangana
55,Anna Nagar,Severe,Rain,5,08-02-2023 08:00,2526,light rain,295.2,2,Sunday,11,Tamil Nadu
56,T. Nagar,Severe,Snow,6,08-02-2023 08:00,2526,light rain,295.2,2,Sunday,11,Tamil Nadu
57,Civil Lines,Severe,Clear,7,08-02-2023 08:00,2526,light rain,295.2,2,Sunday,11,Rajasthan
58,Kalyani Nagar,Moderate,Fog,0,08-02-2023 08:00,2526,light rain,295.2,2,Sunday,11,Maharashtra
59,Vasant Kunj,Severe,Snow,0,08-02-2023 08:00,2526,light rain,295.2,2,Sunday,11,Delhi
60,Alwarpet,Minor,Fog,5,08-02-2023 08:00,2526,light rain,295.2,2,Sunday,11,Tamil Nadu
61,Koramangala,Moderate,Fog,9,08-02-2023 08:00,2526,light rain,295.2,2,Sunday,11,Karnataka
62,Bandra,Moderate,Snow,3,08-02-2023 08:00,2526,light rain,295.2,2,Sunday,11,Maharashtra
63,Indiranagar,Minor,Snow,2,08-02-2023 08:00,2526,light rain,295.2,2,Sunday,11,Karnataka
64,Connaught Place,Severe,Rain,5,08-02-2023 08:00,2526,light rain,295.2,2,Sunday,11,Delhi
65,Salt Lake City,Minor,Fog,3,08-02-2023 08:00,2526,light rain,295.2,2,Sunday,11,West Bengal
66,Gariahat,Moderate,Clear,9,08-02-2023 08:00,2526,light rain,295.2,2,Sunday,11,West Bengal
67,Hinjewadi,Severe,Clear,6,08-02-2023 08:00,2526,light rain,295.2,2,Sunday,11,Maharashtra
68,Banjara Hills,Minor,Fog,8,08-02-2023 08:00,2526,light rain,295.2,2,Sunday,11,Telangana
69,Jubilee Hills,Severe,Snow,4,08-02-2023 08:00,2526,light rain,295.2,2,Sunday,11,Telangana
70,Anna Nagar,Severe,Clear,6,08-02-2023 08:00,2526,light rain,295.2,2,Sunday,11,Tamil Nadu
71,T. Nagar,Moderate,Snow,7,08-02-2023 08:00,2526,light rain,295.2,2,Sunday,11,Tamil Nadu
72,Civil Lines,Severe,Rain,7,08-02-2023 08:00,2526,light rain,295.2,2,Sunday,11,Rajasthan
73,Kalyani Nagar,Moderate,Fog,2,08-02-2023 08:00,2526,light rain,295.2,2,Sunday,11,Maharashtra
74,Vasant Kunj,Minor,Fog,8,08-02-2023 08:00,2526,light rain,295.2,2,Sunday,11,Delhi
75,Alwarpet,Moderate,Clear,1,08-02-2023 08:00,2526,light rain,295.2,2,Sunday,11,Tamil Nadu
76,Koramangala,Minor,Rain,2,08-02-2023 08:00,2526,light rain,295.2,2,Sunday,11,Karnataka
77,Bandra,Severe,Clear,2,08-02-2023 08:00,2526,light rain,295.2,2,Sunday,11,Maharashtra
78,Indiranagar,Severe,Clear,7,08-02-2023 08:00,2526,light rain,295.2,2,Sunday,11,Karnataka
79,Connaught Place,Minor,Snow,4,08-02-2023 08:00,2526,light rain,295.2,2,Sunday,11,Delhi
80,Salt Lake City,Moderate,Snow,2,08-02-2023 08:00,2526,light rain,295.2,2,Sunday,11,West Bengal
81,Gariahat,Severe,Rain,4,08-02-2023 08:00,2526,light rain,295.2,2,Sunday,11,West Bengal
82,Hinjewadi,Moderate,Rain,5,08-02-2023 08:00,2526,light rain,295.2,2,Sunday,11,Maharashtra
83,Banjara Hills,Moderate,Fog,4,08-02-2023 08:00,2526,light rain,295.2,2,Sunday,11,Telangana
84,Jubilee Hills,Moderate,Snow,9,08-02-2023 08:00,2526,light rain,295.2,2,Sunday,11,Telangana
85,Anna Nagar,Moderate,Clear,1,08-02-2023 08:00,2526,light rain,295.2,2,Sunday,11,Tamil Nadu
86,T. Nagar,Minor,Clear,7,08-02-2023 08:00,2526,light rain,295.2,2,Sunday,11,Tamil Nadu
87,Civil Lines,Minor,Fog,0,08-02-2023 08:00,2526,light rain,295.2,2,Sunday,11,Rajasthan
88,Kalyani Nagar,Severe,Snow,7,08-02-2023 08:00,2526,light rain,295.2,2,Sunday,11,Maharashtra
89,Vasant Kunj,Severe,Fog,6,08-02-2023 08:00,2526,light rain,295.2,2,Sunday,11,Delhi
90,Alwarpet,Moderate,Clear,0,08-02-2023 08:00,2526,light rain,295.2,2,Sunday,11,Tamil Nadu
91,Koramangala,Moderate,Rain,1,08-02-2023 08:00,2526,light rain,295.2,2,Sunday,11,Karnataka
92,Bandra,Moderate,Clear,4,08-02-2023 08:00,2526,light rain,295.2,2,Sunday,11,Maharashtra
93,Indiranagar,Moderate,Clear,2,08-02-2023 08:00,2526,light rain,295.2,2,Sunday,11,Karnataka
94,Connaught Place,Minor,Snow,8,08-02-2023 08:00,2526,light rain,295.2,2,Sunday,11,Delhi
95,Salt Lake City,Moderate,Fog,9,08-02-2023 08:00,2526,light rain,295.2,2,Sunday,11,West Bengal
96,Gariahat,Severe,Clear,3,08-02-2023 08:00,2526,light rain,295.2,2,Sunday,11,West Bengal
97,Hinjewadi,Moderate,Rain,6,08-02-2023 08:00,2526,light rain,295.2,2,Sunday,11,Maharashtra
98,Banjara Hills,Moderate,Fog,9,08-02-2023 08:00,2526,light rain,295.2,2,Sunday,11,Telangana
99,Jubilee Hills,Severe,Fog,1,08-02-2023 08:00,2526,light rain,295.2,2,Sunday,11,Telangana
100,Anna Nagar,Minor,Rain,0,08-02-2023 08:00,2526,light rain,295.2,2,Sunday,11,Tamil Nadu
101,T. Nagar,Moderate,Rain,1,01-01-2023 00:00,3374,heavy rain,272.3,3,Sunday,0,Tamil Nadu
102,Civil Lines,Minor,Fog,2,01-01-2023 01:00,3707,light rain,281,1,Sunday,1,Rajasthan
103,Kalyani Nagar,Moderate,Rain,3,01-01-2023 02:00,1060,heavy rain,288.9,3,Sunday,2,Maharashtra
104,Vasant Kunj,Severe,Clear,10,01-01-2023 03:00,1494,light rain,297.7,1,Sunday,3,Delhi
105,Alwarpet,Minor,Rain,10,01-01-2023 04:00,1330,drizzle rain,281.2,2,Sunday,4,Tamil Nadu
106,Koramangala,Minor,Rain,21,01-01-2023 05:00,1295,light rain,291.9,1,Sunday,5,Karnataka
107,Bandra,Minor,Rain,32,01-01-2023 06:00,3972,light rain,301,1,Sunday,6,Maharashtra
108,Indiranagar,Severe,Rain,0,01-01-2023 07:00,3292,thunderstorm with rain,291.6,4,Sunday,7,Karnataka
109,Connaught Place,Moderate,Rain,1,01-01-2023 08:00,1838,heavy rain,278.2,3,Sunday,8,Delhi
110,Salt Lake City,Severe,Fog,2,01-01-2023 09:00,2369,light rain,270.9,1,Sunday,9,West Bengal
111,Gariahat,Minor,Fog,4,01-01-2023 10:00,666,light rain,300.5,1,Sunday,10,West Bengal
112,Hinjewadi,Moderate,Rain,21,01-01-2023 11:00,1438,thunderstorm with rain,270.7,4,Sunday,11,Maharashtra
113,Banjara Hills,Minor,Rain,5,01-01-2023 12:00,530,thunderstorm with rain,300.6,4,Sunday,12,Telangana
114,Jubilee Hills,Moderate,Fog,6,01-01-2023 13:00,1682,heavy rain,288.5,3,Sunday,13,Telangana
115,Anna Nagar,Severe,Rain,0,01-01-2023 14:00,2335,thunderstorm with rain,302.9,4,Sunday,14,Tamil Nadu
116,T. Nagar,Minor,Clear,1,01-01-2023 15:00,3644,drizzle rain,298,2,Sunday,15,Tamil Nadu
117,Civil Lines,Minor,Rain,2,01-01-2023 16:00,3371,thunderstorm with rain,304.9,4,Sunday,16,Rajasthan
118,Kalyani Nagar,Minor,Rain,4,01-01-2023 17:00,3119,drizzle rain,282.3,2,Sunday,17,Maharashtra
119,Vasant Kunj,Severe,Rain,10,01-01-2023 18:00,3935,heavy rain,296.9,3,Sunday,18,Delhi
120,Alwarpet,Moderate,Rain,21,01-01-2023 19:00,330,heavy rain,284.1,3,Sunday,19,Tamil Nadu
121,Koramangala,Severe,Rain,5,01-01-2023 20:00,1885,heavy rain,286.8,3,Sunday,20,Karnataka
122,Bandra,Minor,Fog,6,01-01-2023 21:00,3580,heavy rain,292,3,Sunday,21,Maharashtra
123,Indiranagar,Moderate,Fog,3,01-01-2023 22:00,969,heavy rain,300.6,3,Sunday,22,Karnataka
124,Connaught Place,Minor,Rain,8,01-01-2023 23:00,2591,drizzle rain,304.4,2,Sunday,23,Delhi
125,Salt Lake City,Moderate,Rain,9,02-01-2023 00:00,1715,drizzle rain,296.9,2,Monday,0,West Bengal
126,Gariahat,Severe,Fog,21,02-01-2023 01:00,3685,heavy rain,284.6,3,Monday,1,West Bengal
127,Hinjewadi,Minor,Rain,11,02-01-2023 02:00,3053,thunderstorm with rain,284.7,4,Monday,2,Maharashtra
128,Banjara Hills,Minor,Clear,10,02-01-2023 03:00,2633,light rain,295.8,1,Monday,3,Telangana
129,Jubilee Hills,Minor,Rain,10,02-01-2023 04:00,1415,heavy rain,278.4,3,Monday,4,Telangana
130,Anna Nagar,Severe,Rain,10,02-01-2023 05:00,1155,thunderstorm with rain,273.9,4,Monday,5,Tamil Nadu
131,T. Nagar,Moderate,Rain,21,02-01-2023 06:00,2524,light rain,282.4,1,Monday,6,Tamil Nadu
132,Civil Lines,Severe,Rain,21,02-01-2023 07:00,1384,heavy rain,280.1,3,Monday,7,Rajasthan
133,Kalyani Nagar,Minor,Rain,3,02-01-2023 08:00,659,heavy rain,280.4,3,Monday,8,Maharashtra
134,Vasant Kunj,Moderate,Fog,5,02-01-2023 09:00,3585,drizzle rain,278.2,2,Monday,9,Delhi
135,Alwarpet,Minor,Fog,6,02-01-2023 10:00,221,light rain,271.5,1,Monday,10,Tamil Nadu
136,Koramangala,Moderate,Rain,2,02-01-2023 11:00,2500,light rain,270.6,1,Monday,11,Karnataka
137,Bandra,Severe,Rain,7,02-01-2023 12:00,947,thunderstorm with rain,304.6,4,Monday,12,Maharashtra
138,Indiranagar,Minor,Fog,9,02-01-2023 13:00,3104,drizzle rain,285,2,Monday,13,Karnataka
139,Connaught Place,Minor,Rain,8,02-01-2023 14:00,3832,drizzle rain,283.5,2,Monday,14,Delhi
140,Salt Lake City,Minor,Clear,0,02-01-2023 15:00,674,drizzle rain,293.8,2,Monday,15,West Bengal
141,Gariahat,Severe,Rain,0,02-01-2023 16:00,1282,drizzle rain,277.6,2,Monday,16,West Bengal
142,Hinjewadi,Moderate,Rain,1,02-01-2023 17:00,2758,light rain,303.2,1,Monday,17,Maharashtra
143,Banjara Hills,Severe,Rain,2,02-01-2023 18:00,3953,light rain,297.5,1,Monday,18,Telangana
144,Jubilee Hills,Minor,Rain,4,02-01-2023 19:00,2247,heavy rain,273.1,3,Monday,19,Telangana
145,Anna Nagar,Moderate,Rain,10,02-01-2023 20:00,3747,heavy rain,284.6,3,Monday,20,Tamil Nadu
146,T. Nagar,Minor,Fog,21,02-01-2023 21:00,2947,drizzle rain,300.8,2,Monday,21,Tamil Nadu
147,Civil Lines,Moderate,Fog,5,02-01-2023 22:00,1175,drizzle rain,303.1,2,Monday,22,Rajasthan
148,Kalyani Nagar,Severe,Rain,6,02-01-2023 23:00,2006,drizzle rain,286.4,2,Monday,23,Maharashtra
149,Vasant Kunj,Minor,Rain,3,03-01-2023 00:00,389,heavy rain,291.5,3,Tuesday,0,Delhi
150,Alwarpet,Minor,Fog,8,03-01-2023 01:00,3205,thunderstorm with rain,275.8,4,Tuesday,1,Tamil Nadu
151,Koramangala,Minor,Rain,9,03-01-2023 02:00,2934,thunderstorm with rain,304.7,4,Tuesday,2,Karnataka
152,Bandra,Severe,Clear,21,03-01-2023 03:00,3205,heavy rain,278.1,3,Tuesday,3,Maharashtra
153,Indiranagar,Moderate,Rain,11,03-01-2023 04:00,762,heavy rain,303,3,Tuesday,4,Karnataka
154,Connaught Place,Severe,Rain,10,03-01-2023 05:00,2099,heavy rain,292.7,3,Tuesday,5,Delhi
155,Salt Lake City,Minor,Rain,10,03-01-2023 06:00,3838,heavy rain,291.3,3,Tuesday,6,West Bengal
156,Gariahat,Moderate,Rain,10,03-01-2023 07:00,1467,heavy rain,287.9,3,Tuesday,7,West Bengal
157,Hinjewadi,Minor,Rain,21,03-01-2023 08:00,3079,heavy rain,278.1,3,Tuesday,8,Maharashtra
158,Banjara Hills,Moderate,Fog,21,03-01-2023 09:00,1728,drizzle rain,276.2,2,Tuesday,9,Telangana
159,Jubilee Hills,Severe,Fog,3,03-01-2023 10:00,3402,drizzle rain,277.7,2,Tuesday,10,Telangana
160,Anna Nagar,Minor,Rain,5,03-01-2023 11:00,3756,drizzle rain,276.5,2,Tuesday,11,Tamil Nadu
161,T. Nagar,Minor,Rain,6,03-01-2023 12:00,846,drizzle rain,297.3,2,Tuesday,12,Tamil Nadu
162,Civil Lines,Minor,Fog,2,03-01-2023 13:00,2268,heavy rain,282.3,3,Tuesday,13,Rajasthan
163,Kalyani Nagar,Severe,Rain,7,03-01-2023 14:00,3088,thunderstorm with rain,272,4,Tuesday,14,Maharashtra
164,Vasant Kunj,Moderate,Clear,9,03-01-2023 15:00,2414,light rain,303.9,1,Tuesday,15,Delhi
165,Alwarpet,Severe,Rain,8,03-01-2023 16:00,1497,heavy rain,300.9,3,Tuesday,16,Tamil Nadu
166,Koramangala,Minor,Rain,0,03-01-2023 17:00,2635,light rain,302.5,1,Tuesday,17,Karnataka
167,Bandra,Moderate,Rain,0,03-01-2023 18:00,800,thunderstorm with rain,304.8,4,Tuesday,18,Maharashtra
168,Indiranagar,Minor,Rain,1,03-01-2023 19:00,2563,drizzle rain,276.1,2,Tuesday,19,Karnataka
169,Connaught Place,Moderate,Rain,2,03-01-2023 20:00,2261,thunderstorm with rain,283.9,4,Tuesday,20,Delhi
170,Salt Lake City,Severe,Fog,4,03-01-2023 21:00,441,heavy rain,296.5,3,Tuesday,21,West Bengal
171,Gariahat,Minor,Fog,10,03-01-2023 22:00,2241,drizzle rain,294.4,2,Tuesday,22,West Bengal
172,Hinjewadi,Minor,Rain,21,03-01-2023 23:00,3024,heavy rain,275.4,3,Tuesday,23,Maharashtra
173,Banjara Hills,Minor,Rain,5,04-01-2023 00:00,3617,drizzle rain,298.6,2,Wednesday,0,Telangana
174,Jubilee Hills,Severe,Fog,6,04-01-2023 01:00,2812,light rain,277.9,1,Wednesday,1,Telangana
175,Anna Nagar,Moderate,Rain,3,04-01-2023 02:00,3145,light rain,277.8,1,Wednesday,2,Tamil Nadu
176,T. Nagar,Severe,Clear,8,04-01-2023 03:00,1563,light rain,288.8,1,Wednesday,3,Tamil Nadu
177,Civil Lines,Minor,Rain,9,04-01-2023 04:00,2339,thunderstorm with rain,290.8,4,Wednesday,4,Rajasthan
178,Kalyani Nagar,Moderate,Rain,21,04-01-2023 05:00,1590,heavy rain,290.3,3,Wednesday,5,Maharashtra
179,Vasant Kunj,Minor,Rain,11,04-01-2023 06:00,3203,thunderstorm with rain,273.2,4,Wednesday,6,Delhi
180,Alwarpet,Moderate,Rain,10,04-01-2023 07:00,1678,light rain,300.7,1,Wednesday,7,Tamil Nadu
181,Koramangala,Severe,Rain,10,04-01-2023 08:00,3699,heavy rain,279.3,3,Wednesday,8,Karnataka
182,Bandra,Minor,Fog,10,04-01-2023 09:00,2756,light rain,274.5,1,Wednesday,9,Maharashtra
183,Indiranagar,Minor,Fog,21,04-01-2023 10:00,975,thunderstorm with rain,301.1,4,Wednesday,10,Karnataka
184,Connaught Place,Minor,Rain,21,04-01-2023 11:00,234,thunderstorm with rain,303.4,4,Wednesday,11,Delhi
185,Salt Lake City,Severe,Rain,3,04-01-2023 12:00,2453,thunderstorm with rain,300.2,4,Wednesday,12,West Bengal
186,Gariahat,Moderate,Fog,5,04-01-2023 13:00,3352,light rain,298.3,1,Wednesday,13,West Bengal
187,Hinjewadi,Severe,Rain,6,04-01-2023 14:00,2155,heavy rain,292.9,3,Wednesday,14,Maharashtra
188,Banjara Hills,Minor,Clear,2,04-01-2023 15:00,1785,heavy rain,289.3,3,Wednesday,15,Telangana
189,Jubilee Hills,Moderate,Rain,7,04-01-2023 16:00,3659,light rain,273,1,Wednesday,16,Telangana
190,Anna Nagar,Minor,Rain,9,04-01-2023 17:00,3273,heavy rain,284.3,3,Wednesday,17,Tamil Nadu
191,T. Nagar,Moderate,Rain,8,04-01-2023 18:00,1221,light rain,283,1,Wednesday,18,Tamil Nadu
192,Civil Lines,Severe,Rain,0,04-01-2023 19:00,3661,heavy rain,279.1,3,Wednesday,19,Rajasthan
193,Kalyani Nagar,Minor,Rain,0,04-01-2023 20:00,2813,drizzle rain,295.3,2,Wednesday,20,Maharashtra
194,Vasant Kunj,Minor,Fog,1,04-01-2023 21:00,1329,drizzle rain,287.4,2,Wednesday,21,Delhi
195,Alwarpet,Minor,Fog,2,04-01-2023 22:00,1700,thunderstorm with rain,272.8,4,Wednesday,22,Tamil Nadu
196,Koramangala,Severe,Rain,4,04-01-2023 23:00,902,drizzle rain,277.7,2,Wednesday,23,Karnataka
197,Bandra,Moderate,Rain,10,05-01-2023 00:00,2649,drizzle rain,293.9,2,Thursday,0,Maharashtra
198,Indiranagar,Severe,Fog,21,05-01-2023 01:00,2977,drizzle rain,272.7,2,Thursday,1,Karnataka
199,Connaught Place,Minor,Rain,5,05-01-2023 02:00,1779,light rain,299.8,1,Thursday,2,Delhi
200,Salt Lake City,Moderate,Clear,6,05-01-2023 03:00,361,drizzle rain,287.3,2,Thursday,3,West Bengal
201,Gariahat,Minor,Rain,3,05-01-2023 04:00,401,drizzle rain,286.8,2,Thursday,4,West Bengal
202,Hinjewadi,Moderate,Rain,8,05-01-2023 05:00,2181,thunderstorm with rain,290.7,4,Thursday,5,Maharashtra
